Geograghy,AllDeaths,Covid19Deaths,AllDeathsPer100k,Covid19DeathsPer100k,population,percentage_male,percentage_female,percentage_in_houshold,percentage_in_communal,population_density,EthnicWhiteUK,EthnicWhiteIrish,EthnicWhiteGypsy,EthnicWhiteOther,EthnicMixedWBC,EthnicMixedWBA,EthnicMixedWA,EthnicMixedOther,EthnicAsianBI,EthnicAsianBP,EthnicAsianBB,EthnicAsianBC,EthnicAsianOther,EthnicBlackAfrican,EthnicBlackCaribbean,EthnicBlackOther,EthnicArab,EthnicOther,CH4,CO2,HFC,N2O,NF3,PFC,SF6,CO,NMVOC,PM10,PM2.5
E07000120,40,11,49.545421,13.624991,80734,49.500000,50.500000,99.200000,0.800000,11.100000,85.300000,0.500000,0.100000,1.700000,0.200000,0.000000,0.400000,0.200000,0.300000,9.300000,0.500000,0.300000,0.600000,0.100000,0.100000,0.000000,0.100000,0.100000,0.373650,31.532856,1.722403,0.421057,0.000138,0.088469,0.050123,0.113975,0.075678,0.012423,0.007903
E07000121,33,10,23.848238,7.226739,138375,48.300000,51.700000,93.500000,6.500000,2.400000,91.500000,0.600000,0.200000,3.300000,0.300000,0.100000,0.300000,0.200000,0.900000,0.300000,0.200000,0.900000,0.400000,0.300000,0.100000,0.000000,0.100000,0.100000,1.693130,38.159266,2.361624,1.080941,0.000085,0.054830,0.053398,0.112557,0.070087,0.013478,0.007205
E07000122,53,12,59.249653,13.415016,89452,49.200000,50.800000,99.300000,0.700000,5.300000,77.200000,0.500000,0.000000,2.100000,0.200000,0.100000,0.700000,0.200000,0.300000,17.100000,0.400000,0.300000,0.700000,0.100000,0.100000,0.000000,0.100000,0.100000,0.494056,37.842711,1.910159,0.544258,0.000187,0.120105,0.062576,0.140902,0.097851,0.015073,0.010015
E07000123,29,11,20.684441,7.845822,140202,50.100000,49.900000,95.900000,4.100000,9.900000,75.800000,0.800000,0.100000,3.500000,1.200000,0.200000,0.700000,0.300000,10.300000,3.200000,0.300000,0.900000,0.900000,0.500000,0.600000,0.100000,0.400000,0.300000,0.869941,44.000692,2.848294,0.807434,0.000160,0.102678,0.071443,0.148645,0.098172,0.016619,0.010197
E07000124,43,12,75.264300,21.003991,57132,49.000000,51.000000,97.900000,2.100000,1.000000,95.800000,0.600000,0.000000,1.400000,0.200000,0.100000,0.300000,0.100000,0.400000,0.500000,0.100000,0.200000,0.200000,0.100000,0.000000,0.000000,0.000000,0.100000,0.986627,19.591849,1.158585,0.680430,0.000085,0.054706,0.032757,0.076450,0.053255,0.008719,0.005056
E07000125,13,2,19.122709,2.941955,67982,49.100000,50.900000,98.900000,1.100000,4.900000,92.000000,0.800000,0.100000,1.000000,0.300000,0.100000,0.300000,0.200000,0.300000,1.700000,2.400000,0.300000,0.300000,0.100000,0.100000,0.000000,0.100000,0.100000,0.346474,24.640219,1.412439,0.361904,0.000102,0.065371,0.039331,0.092688,0.058241,0.010211,0.006111
E07000126,20,6,18.339034,5.501710,109057,48.900000,51.100000,99.200000,0.800000,9.700000,95.300000,0.600000,0.000000,1.200000,0.500000,0.100000,0.400000,0.200000,0.700000,0.200000,0.000000,0.300000,0.200000,0.100000,0.100000,0.000000,0.100000,0.100000,0.873395,39.835279,2.343091,0.699825,0.000154,0.098941,0.072495,0.144646,0.091952,0.016129,0.009616
E07000127,32,16,28.910873,14.455437,110685,48.600000,51.400000,98.200000,1.800000,3.200000,95.600000,0.500000,0.000000,2.000000,0.200000,0.100000,0.200000,0.200000,0.400000,0.100000,0.000000,0.200000,0.200000,0.100000,0.000000,0.000000,0.100000,0.100000,1.733327,35.246076,2.190749,1.201730,0.000123,0.078943,0.049804,0.122159,0.084048,0.014465,0.008382
E07000128,48,23,44.547977,21.345906,107749,48.500000,51.500000,98.300000,1.700000,3.800000,96.800000,0.500000,0.100000,0.900000,0.200000,0.100000,0.200000,0.100000,0.200000,0.100000,0.100000,0.300000,0.300000,0.100000,0.000000,0.000000,0.000000,0.100000,1.201322,29.899228,1.904673,0.860850,0.000098,0.062854,0.054253,0.110247,0.068871,0.012933,0.006958
E07000129,47,14,50.045254,14.907097,93915,49.200000,50.800000,98.900000,1.100000,7.200000,88.500000,0.600000,0.100000,1.800000,0.700000,0.100000,0.500000,0.300000,4.700000,0.300000,0.000000,0.500000,0.600000,0.400000,0.400000,0.100000,0.100000,0.300000,0.593021,35.831388,2.184645,0.520493,0.000124,0.080043,0.055852,0.127410,0.078692,0.014391,0.008163
